File,Creation,Time,UTC,7/30/22,4:09:52,,,,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,,,,
SW,Version,v01.09,,,,,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,,,,
SW,StartTime,7/22/22,3:48:23,,,,,,,,,,
Lib,Version,v1.6.3,,,,,,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,,,,
OS,Version,v10.0.17763.865,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
,Scan,mode,MPC,,,,,,,,,,
,DataGetDelay_Seconds,10,,,,,,,,,,,
,,,,,,,,,,,,,
Found,Hardware,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,,,,
,0x10,200330,D0.22,98.26.06,2,,,,,,,,
,0x13,200328,D0.22,98.26.06,2,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,
7/30/22,6:29:31,13,200328,25SQCMICSBB6FF200970C,DPC,7/30/22,29:21.3,7/30/22,29:21.3,24,Departing,x,x
7/30/22,6:39:26,13,200328,25SQCMICSBB7DEE00B17C,DPC,7/30/22,39:15.5,7/30/22,39:15.5,39,Departing,x,x
7/30/22,6:44:48,13,200328,25SQCMICSBB04CF00B0B7,DPC,7/30/22,44:37.9,7/30/22,44:37.9,28,Unknown,x,
7/30/22,6:45:38,13,200328,25SQCMICSBB04CF00B0B7,DPC,7/30/22,45:28.2,7/30/22,45:28.2,123,Arriving,x,x
7/30/22,6:45:48,13,200328,25SQCMICSBB04CF00B0B7,DPC,7/30/22,45:38.3,7/30/22,45:38.3,21,Unknown,x,
7/30/22,6:46:39,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,46:28.6,7/30/22,46:28.6,14,Departing,x,x
7/30/22,6:55:23,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,55:12.6,7/30/22,55:12.6,29,Departing,x,x
7/30/22,6:57:03,13,200328,25SQCMICSBB0F9D00970B,DPC,7/30/22,56:53.3,7/30/22,56:53.3,42,Unknown,x,
7/30/22,6:57:13,13,200328,25SQCMICSBB0F9D00970B,DPC,7/30/22,57:03.3,7/30/22,57:03.3,22,Departing,x,x
7/30/22,7:00:15,13,200328,25SQCMICSBB7DEE00B17C,DPC,7/30/22,00:04.5,7/30/22,00:04.5,101,Arriving,x,x
