File Creation Time UTC;2022-07-24 03:49:03
SW Name;iID®DataCaptureSoftware
SW Version;v01.09
SW BuildDate;2020-04-07
SW StartTime;2022-07-24 03:28:01
Lib Version;v1.6.3
Company;Micro-Sensys GmbH
OS Version;v10.0.17763.865


Settings
;Scan mode;MPC
;;DataGetDelay_Seconds;10

Found Hardware
;Address;ReaderID;HW-Info;FW-Info;Num-Antennas
;0x01;25SQCMICSCB30F42
;0x10;200474;D0.22;98.26.0D;2
;0x11;200481;D0.22;98.26.0D;2


Timestamp;HexAddress;ReaderID;UID;Collection;DataType;FirstTimeFound;LastTimeFound;NumFound;Direction;Ant1;Ant2
2022-07-23 20:48:59,303;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:48:49,200;2022-07-24 03:48:49,200;64;Unknown;x;
2022-07-23 20:49:09,366;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:48:59,200;2022-07-24 03:48:59,200;25;Unknown;x;
2022-07-23 20:49:19,428;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:49:09,300;2022-07-24 03:49:09,300;132;Unknown;x;
2022-07-23 20:49:29,491;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:49:19,400;2022-07-24 03:49:19,400;26;Unknown;x;
2022-07-23 20:49:39,569;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:49:29,500;2022-07-24 03:49:29,500;37;Unknown;x;
2022-07-23 20:49:49,662;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:49:39,500;2022-07-24 03:49:39,500;89;Unknown;x;
2022-07-23 20:49:59,741;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:49:49,600;2022-07-24 03:49:49,600;101;Unknown;x;
2022-07-23 20:50:09,756;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:49:59,700;2022-07-24 03:49:59,700;83;Unknown;x;
2022-07-23 20:50:19,834;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:50:09,700;2022-07-24 03:50:09,700;17;Unknown;x;
2022-07-23 20:50:29,928;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:50:19,800;2022-07-24 03:50:19,800;90;Unknown;x;
2022-07-23 20:50:39,991;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:50:29,900;2022-07-24 03:50:29,900;17;Unknown;x;
2022-07-23 20:50:50,037;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:50:39,900;2022-07-24 03:50:39,900;59;Unknown;x;
2022-07-23 20:51:00,131;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:50:50,000;2022-07-24 03:50:50,000;94;Unknown;x;
2022-07-23 20:51:10,194;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:51:00,100;2022-07-24 03:51:00,100;97;Unknown;x;
2022-07-23 20:51:20,241;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:51:10,100;2022-07-24 03:51:10,100;86;Unknown;x;
2022-07-23 20:51:30,350;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:51:20,200;2022-07-24 03:51:20,200;69;Unknown;x;
2022-07-23 20:51:40,428;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:51:30,300;2022-07-24 03:51:30,300;67;Unknown;x;
2022-07-23 20:51:50,553;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:51:40,400;2022-07-24 03:51:40,400;123;Unknown;x;
2022-07-23 20:52:00,616;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:51:50,500;2022-07-24 03:51:50,500;103;Unknown;x;
2022-07-23 20:52:10,678;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:52:00,600;2022-07-24 03:52:00,600;14;Unknown;x;
2022-07-23 20:52:30,834;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:52:20,700;2022-07-24 03:52:20,700;14;Unknown;x;
2022-07-23 20:52:40,897;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:52:30,800;2022-07-24 03:52:30,800;55;Unknown;x;
2022-07-23 20:53:21,162;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:53:11,100;2022-07-24 03:53:11,100;5;Unknown;x;
2022-07-23 20:53:41,287;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:53:31,200;2022-07-24 03:53:31,200;2;Unknown;x;
2022-07-23 20:54:21,616;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:54:11,500;2022-07-24 03:54:11,500;27;Unknown;x;
2022-07-23 20:54:31,709;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:54:21,600;2022-07-24 03:54:21,600;9;Unknown;x;
2022-07-23 20:54:41,787;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:54:31,600;2022-07-24 03:54:31,600;28;Unknown;x;
2022-07-23 20:54:51,819;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:54:41,700;2022-07-24 03:54:41,700;71;Unknown;x;
2022-07-23 20:55:01,912;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:54:51,800;2022-07-24 03:54:51,800;29;Unknown;x;
2022-07-23 20:55:11,975;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:55:01,800;2022-07-24 03:55:01,800;10;Unknown;x;
2022-07-23 20:55:22,069;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:55:11,900;2022-07-24 03:55:11,900;5;Unknown;x;
2022-07-23 20:55:32,147;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:55:22,000;2022-07-24 03:55:22,000;10;Unknown;x;
2022-07-23 20:55:52,272;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:55:42,200;2022-07-24 03:55:42,200;54;Unknown;x;
2022-07-23 20:56:02,381;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:55:52,200;2022-07-24 03:55:52,200;130;Unknown;x;
2022-07-23 20:56:12,412;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:56:02,300;2022-07-24 03:56:02,300;87;Unknown;x;
2022-07-23 20:56:22,459;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:56:12,400;2022-07-24 03:56:12,400;119;Unknown;x;
2022-07-23 20:56:32,584;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:56:22,400;2022-07-24 03:56:22,400;117;Unknown;x;
2022-07-23 20:56:42,631;11;200481;25SQCMICSBB15B900AA73;;DPC;2022-07-24 03:56:32,500;2022-07-24 03:56:32,500;142;Unknown;x;
