File,Creation,Time,UTC,6/27/22,2:52:10,,,,,,,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,,,,,,,
SW,Version,v01.09,,,,,,,,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,,,,,,,
SW,StartTime,6/7/22,22:31:14,,,,,,,,,,,,,
Lib,Version,v1.6.3,,,,,,,,,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,,,,,,,
OS,Version,v10.0.17763.865,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,
,Scan,mode,MPC,,,,,,,,,,,,,
,DataGetDelay_Seconds,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Found,Hardware,,,,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,,,,,,,
,0x10,200330,D0.22,98.26.06,2,,,,,,,,,,,
,0x13,200328,D0.22,98.26.06,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,,,,
6/27/22,0:43:03,968,13,200328,25SQCMICSBB09FC009CE3,DPC,6/27/22,7:42:53,900,6/27/22,7:42:53,900,1,Unknown,x,
6/27/22,5:12:16,733,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:12:06,600,6/27/22,12:12:06,600,1,Unknown,x,
6/27/22,5:19:49,983,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:19:39,900,6/27/22,12:19:39,900,132,Arriving,x,x
6/27/22,5:20:00,62,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:19:49,900,6/27/22,12:19:49,900,9,Unknown,x,
6/27/22,5:21:10,562,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:21:00,400,6/27/22,12:21:00,400,73,Departing,x,x
6/27/22,5:21:20,655,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:21:10,500,6/27/22,12:21:10,500,172,Arriving,x,x
6/27/22,5:22:31,155,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:22:21,0,6/27/22,12:22:21,0,28,Unknown,x,
6/27/22,5:22:41,249,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:22:31,100,6/27/22,12:22:31,100,16,Unknown,x,
6/27/22,5:45:51,155,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:45:41,0,6/27/22,12:45:41,0,14,Arriving,x,x
6/27/22,5:46:01,218,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:45:51,100,6/27/22,12:45:51,100,5,Departing,x,x
6/27/22,5:46:41,515,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:46:31,400,6/27/22,12:46:31,400,8,Unknown,x,
6/27/22,5:47:01,671,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:46:51,500,6/27/22,12:46:51,500,13,Unknown,x,
6/27/22,5:47:11,749,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:47:01,600,6/27/22,12:47:01,600,23,Departing,x,x
6/27/22,5:48:02,124,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:47:52,0,6/27/22,12:47:52,0,12,Unknown,x,
6/27/22,5:48:02,124,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:47:52,0,6/27/22,12:47:52,0,1,Unknown,x,
