File Creation Time UTC;2022-07-18 01:12:11
SW Name;iID®DataCaptureSoftware
SW Version;v01.09
SW BuildDate;2020-04-07
SW StartTime;2022-07-10 04:18:36
Lib Version;v1.6.3
Company;Micro-Sensys GmbH
OS Version;v10.0.17763.865


Settings
;Scan mode;MPC
;;DataGetDelay_Seconds;10

Found Hardware
;Address;ReaderID;HW-Info;FW-Info;Num-Antennas
;0x01;25SQCMICSCB30F42
;0x10;200474;D0.22;98.26.0D;2
;0x11;200475;D0.22;98.26.0D;2


Timestamp;HexAddress;ReaderID;UID;Collection;DataType;FirstTimeFound;LastTimeFound;NumFound;Direction;Ant1;Ant2
2022-07-17 18:12:06,427;10;200474;25SQCMICSBB48A200AA01;;DPC;2022-07-18 01:11:56,300;2022-07-18 01:11:56,300;23;Departing;x;x
2022-07-17 18:12:17,099;11;200475;25SQCMICSBB272900AFDE;;DPC;2022-07-18 01:12:06,900;2022-07-18 01:12:06,900;13;Arriving;x;x
2022-07-17 18:12:17,099;11;200475;25SQCMICSBB690800AA33;;DPC;2022-07-18 01:12:06,900;2022-07-18 01:12:06,900;17;Arriving;x;x
2022-07-17 18:12:27,145;11;200475;25SQCMICSBB690800AA33;;DPC;2022-07-18 01:12:17,000;2022-07-18 01:12:17,000;17;Unknown;;x
2022-07-17 18:12:27,145;11;200475;25SQCMICSBBA39900B079;;DPC;2022-07-18 01:12:17,000;2022-07-18 01:12:17,000;15;Departing;x;x
2022-07-17 18:12:46,724;10;200474;25SQCMICSBBA39900B079;;DPC;2022-07-18 01:12:36,600;2022-07-18 01:12:36,600;1;Unknown;x;
2022-07-17 18:13:27,614;11;200475;25SQCMICSBBA39900B079;;DPC;2022-07-18 01:13:17,500;2022-07-18 01:13:17,500;86;Arriving;x;x
2022-07-17 18:13:37,692;11;200475;25SQCMICSBBA39900B079;;DPC;2022-07-18 01:13:27,600;2022-07-18 01:13:27,600;42;Departing;x;x
2022-07-17 18:13:47,208;10;200474;25SQCMICSBBACBE00AAAC;;DPC;2022-07-18 01:13:37,100;2022-07-18 01:13:37,100;20;Arriving;x;x
2022-07-17 18:13:47,786;11;200475;25SQCMICSBB6FFD00AA68;;DPC;2022-07-18 01:13:37,600;2022-07-18 01:13:37,600;18;Departing;x;x
2022-07-17 18:13:57,849;11;200475;25SQCMICSBB6FFD00AA68;;DPC;2022-07-18 01:13:47,700;2022-07-18 01:13:47,700;6;Arriving;x;x
2022-07-17 18:14:07,380;10;200474;25SQCMICSBBACBE00AAAC;;DPC;2022-07-18 01:13:57,200;2022-07-18 01:13:57,200;9;Unknown;x;
2022-07-17 18:14:17,474;10;200474;25SQCMICSBB394200B034;;DPC;2022-07-18 01:14:07,300;2022-07-18 01:14:07,300;74;Unknown;x;
2022-07-17 18:14:27,552;10;200474;25SQCMICSBB394200B034;;DPC;2022-07-18 01:14:17,400;2022-07-18 01:14:17,400;4;Unknown;x;
2022-07-17 18:14:47,739;10;200474;25SQCMICSBB8E8900AA58;;DPC;2022-07-18 01:14:37,600;2022-07-18 01:14:37,600;32;Departing;x;x
2022-07-17 18:14:47,739;10;200474;25SQCMICSBB394200B034;;DPC;2022-07-18 01:14:37,600;2022-07-18 01:14:37,600;18;Unknown;x;
2022-07-17 18:14:47,739;10;200474;25SQCMICSBB9CDA00B068;;DPC;2022-07-18 01:14:37,600;2022-07-18 01:14:37,600;13;Unknown;x;
2022-07-17 18:14:57,864;10;200474;25SQCMICSBB9CDA00B068;;DPC;2022-07-18 01:14:47,700;2022-07-18 01:14:47,700;78;Departing;x;x
2022-07-17 18:14:57,864;10;200474;25SQCMICSBB394200B034;;DPC;2022-07-18 01:14:47,700;2022-07-18 01:14:47,700;6;Unknown;x;
2022-07-17 18:15:07,958;10;200474;25SQCMICSBB9CDA00B068;;DPC;2022-07-18 01:14:57,800;2022-07-18 01:14:57,800;106;Unknown;x;
2022-07-17 18:15:07,958;10;200474;25SQCMICSBB394200B034;;DPC;2022-07-18 01:14:57,800;2022-07-18 01:14:57,800;89;Unknown;x;
2022-07-17 18:15:08,536;11;200475;25SQCMICSBBD9DD00B062;;DPC;2022-07-18 01:14:58,400;2022-07-18 01:14:58,400;8;Arriving;x;x
2022-07-17 18:15:18,036;10;200474;25SQCMICSBB9CDA00B068;;DPC;2022-07-18 01:15:07,900;2022-07-18 01:15:07,900;110;Unknown;x;
2022-07-17 18:15:18,036;10;200474;25SQCMICSBB394200B034;;DPC;2022-07-18 01:15:07,900;2022-07-18 01:15:07,900;36;Unknown;x;
2022-07-17 18:15:18,036;10;200474;25SQCMICSBB341300AA41;;DPC;2022-07-18 01:15:07,900;2022-07-18 01:15:07,900;8;Unknown;;x
2022-07-17 18:15:18,599;11;200475;25SQCMICSBB272900AFDE;;DPC;2022-07-18 01:15:08,500;2022-07-18 01:15:08,500;8;Departing;x;x
2022-07-17 18:15:28,099;10;200474;25SQCMICSBB9CDA00B068;;DPC;2022-07-18 01:15:18,000;2022-07-18 01:15:18,000;132;Unknown;x;
2022-07-17 18:15:28,099;10;200474;25SQCMICSBB341300AA41;;DPC;2022-07-18 01:15:18,000;2022-07-18 01:15:18,000;17;Departing;x;x
2022-07-17 18:15:28,645;11;200475;25SQCMICSBB690800AA33;;DPC;2022-07-18 01:15:18,600;2022-07-18 01:15:18,600;6;Unknown;x;
2022-07-17 18:15:38,224;10;200474;25SQCMICSBB9CDA00B068;;DPC;2022-07-18 01:15:28,100;2022-07-18 01:15:28,100;138;Unknown;x;
