File Creation Time UTC;2022-06-30 15:31:59
SW Name;iID®DataCaptureSoftware
SW Version;v01.09
SW BuildDate;2020-04-07
SW StartTime;2022-06-07 22:31:14
Lib Version;v1.6.3
Company;Micro-Sensys GmbH
OS Version;v10.0.17763.865


Settings
;Scan mode;MPC
;;DataGetDelay_Seconds;10

Found Hardware
;Address;ReaderID;HW-Info;FW-Info;Num-Antennas
;0x01;25SQCMICSCB030EB4
;0x10;200330;D0.22;98.26.06;2
;0x13;200328;D0.22;98.26.06;2


Timestamp;HexAddress;ReaderID;UID;Collection;DataType;FirstTimeFound;LastTimeFound;NumFound;Direction;Ant1;Ant2
2022-06-30 08:52:12,562;10;200330;25SQCMICSBB13AF009695;;DPC;2022-06-30 15:52:02,500;2022-06-30 15:52:02,500;42;Arriving;x;x
2022-06-30 08:52:52,843;10;200330;25SQCMICSBB61D1009D37;;DPC;2022-06-30 15:52:42,700;2022-06-30 15:52:42,700;27;Arriving;x;x
2022-06-30 08:53:43,796;13;200328;25SQCMICSBB32E900977A;;DPC;2022-06-30 15:53:33,700;2022-06-30 15:53:33,700;18;Departing;x;x
2022-06-30 08:53:53,343;10;200330;25SQCMICSBB92E10096C9;;DPC;2022-06-30 15:53:43,200;2022-06-30 15:53:43,200;18;Departing;x;x
2022-06-30 08:54:54,296;13;200328;25SQCMICSBBA872009617;;DPC;2022-06-30 15:54:44,200;2022-06-30 15:54:44,200;24;Unknown;;x
2022-06-30 08:55:13,858;10;200330;25SQCMICSBB0411008E0E;;DPC;2022-06-30 15:55:03,800;2022-06-30 15:55:03,800;37;Arriving;x;x
2022-06-30 08:55:13,858;10;200330;25SQCMICSBB92590096BD;;DPC;2022-06-30 15:55:03,800;2022-06-30 15:55:03,800;10;Departing;x;x
2022-06-30 08:55:23,937;10;200330;25SQCMICSBB68AC009615;;DPC;2022-06-30 15:55:13,800;2022-06-30 15:55:13,800;35;Departing;x;x
2022-06-30 08:56:24,374;10;200330;25SQCMICSBB92590096BD;;DPC;2022-06-30 15:56:14,200;2022-06-30 15:56:14,200;47;Arriving;x;x
2022-06-30 08:56:34,452;10;200330;25SQCMICSBB92590096BD;;DPC;2022-06-30 15:56:24,300;2022-06-30 15:56:24,300;43;Arriving;x;x
2022-06-30 08:57:14,733;10;200330;25SQCMICSBB48140096B1;;DPC;2022-06-30 15:57:04,600;2022-06-30 15:57:04,600;18;Unknown;;x
2022-06-30 08:57:24,827;10;200330;25SQCMICSBB48140096B1;;DPC;2022-06-30 15:57:14,700;2022-06-30 15:57:14,700;9;Unknown;;x
2022-06-30 08:57:34,921;10;200330;25SQCMICSBBB31E009696;;DPC;2022-06-30 15:57:24,800;2022-06-30 15:57:24,800;2;Unknown;;x
2022-06-30 08:57:35,468;13;200328;25SQCMICSBB4CFB009CE9;;DPC;2022-06-30 15:57:25,300;2022-06-30 15:57:25,300;38;Departing;x;x
2022-06-30 08:57:45,015;10;200330;25SQCMICSBBB31E009696;;DPC;2022-06-30 15:57:34,900;2022-06-30 15:57:34,900;16;Departing;x;x
