File Creation Time UTC;2022-08-04 06:18:14
SW Name;iID®DataCaptureSoftware
SW Version;v01.09
SW BuildDate;2020-04-07
SW StartTime;2022-07-24 03:28:01
Lib Version;v1.6.3
Company;Micro-Sensys GmbH
OS Version;v10.0.17763.865


Settings
;Scan mode;MPC
;;DataGetDelay_Seconds;10

Found Hardware
;Address;ReaderID;HW-Info;FW-Info;Num-Antennas
;0x01;25SQCMICSCB30F42
;0x10;200474;D0.22;98.26.0D;2
;0x11;200481;D0.22;98.26.0D;2


Timestamp;HexAddress;ReaderID;UID;Collection;DataType;FirstTimeFound;LastTimeFound;NumFound;Direction;Ant1;Ant2
2022-08-04 05:43:57,412;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:43:47,300;2022-08-04 12:43:47,300;16;Departing;x;x
2022-08-04 05:44:07,522;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:43:57,400;2022-08-04 12:43:57,400;34;Departing;x;x
2022-08-04 05:44:07,522;11;200481;25SQCMICSBBDE7A00B1AD;;DPC;2022-08-04 12:43:57,400;2022-08-04 12:43:57,400;10;Unknown;;x
2022-08-04 05:47:59,241;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:47:49,100;2022-08-04 12:47:49,100;66;Departing;x;x
2022-08-04 05:48:09,334;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:47:59,200;2022-08-04 12:47:59,200;13;Arriving;x;x
2022-08-04 05:48:19,397;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:48:09,300;2022-08-04 12:48:09,300;15;Unknown;x;
2022-08-04 05:48:29,475;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:48:19,300;2022-08-04 12:48:19,300;18;Unknown;x;
2022-08-04 05:48:39,537;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:48:29,400;2022-08-04 12:48:29,400;15;Unknown;x;
2022-08-04 05:48:39,537;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:48:29,400;2022-08-04 12:48:29,400;78;Unknown;x;
2022-08-04 05:48:49,616;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:48:39,500;2022-08-04 12:48:39,500;105;Unknown;x;
2022-08-04 05:48:59,725;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:48:49,600;2022-08-04 12:48:49,600;45;Unknown;x;
2022-08-04 05:48:59,725;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:48:49,600;2022-08-04 12:48:49,600;45;Departing;x;x
2022-08-04 05:49:09,756;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:48:59,600;2022-08-04 12:48:59,600;9;Unknown;x;
2022-08-04 05:49:09,756;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:48:59,600;2022-08-04 12:48:59,600;22;Unknown;x;
2022-08-04 05:49:19,803;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:49:09,700;2022-08-04 12:49:09,700;64;Unknown;x;
2022-08-04 05:49:29,897;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:49:19,800;2022-08-04 12:49:19,800;108;Unknown;x;
2022-08-04 05:49:39,975;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:49:29,800;2022-08-04 12:49:29,800;117;Unknown;x;
2022-08-04 05:49:39,975;11;200481;25SQCMICSBB53CE00AA80;;DPC;2022-08-04 12:49:29,800;2022-08-04 12:49:29,800;19;Unknown;x;
2022-08-04 05:49:50,053;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:49:39,900;2022-08-04 12:49:39,900;129;Unknown;x;
2022-08-04 05:49:50,053;11;200481;25SQCMICSBB53CE00AA80;;DPC;2022-08-04 12:49:39,900;2022-08-04 12:49:39,900;16;Arriving;x;x
2022-08-04 05:50:00,194;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:49:50,000;2022-08-04 12:49:50,000;113;Unknown;x;
2022-08-04 05:50:10,241;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:50:00,100;2022-08-04 12:50:00,100;46;Unknown;x;
2022-08-04 05:50:40,444;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:50:30,300;2022-08-04 12:50:30,300;24;Departing;x;x
2022-08-04 05:50:50,491;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:50:40,400;2022-08-04 12:50:40,400;13;Unknown;x;
2022-08-04 05:51:10,678;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:51:00,600;2022-08-04 12:51:00,600;2;Unknown;x;
2022-08-04 05:51:30,866;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:51:20,700;2022-08-04 12:51:20,700;12;Unknown;x;
2022-08-04 05:51:40,928;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:51:30,800;2022-08-04 12:51:30,800;22;Unknown;x;
2022-08-04 05:51:50,975;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:51:40,900;2022-08-04 12:51:40,900;73;Unknown;x;
2022-08-04 05:52:01,100;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 12:51:50,900;2022-08-04 12:51:50,900;15;Arriving;x;x
2022-08-04 05:52:11,147;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 12:52:01,000;2022-08-04 12:52:01,000;8;Unknown;x;
2022-08-04 05:52:11,147;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:52:01,000;2022-08-04 12:52:01,000;53;Departing;x;x
2022-08-04 05:52:21,225;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:52:11,100;2022-08-04 12:52:11,100;93;Arriving;x;x
2022-08-04 05:52:31,334;11;200481;25SQCMICSBB81AE00B0CB;;DPC;2022-08-04 12:52:21,200;2022-08-04 12:52:21,200;43;Unknown;;x
