File Creation Time UTC;2022-07-10 04:01:33
SW Name;iID®DataCaptureSoftware
SW Version;v01.09
SW BuildDate;2020-04-07
SW StartTime;2022-06-07 22:31:14
Lib Version;v1.6.3
Company;Micro-Sensys GmbH
OS Version;v10.0.17763.865


Settings
;Scan mode;MPC
;;DataGetDelay_Seconds;10

Found Hardware
;Address;ReaderID;HW-Info;FW-Info;Num-Antennas
;0x01;25SQCMICSCB030EB4
;0x10;200330;D0.22;98.26.06;2
;0x13;200328;D0.22;98.26.06;2


Timestamp;HexAddress;ReaderID;UID;Collection;DataType;FirstTimeFound;LastTimeFound;NumFound;Direction;Ant1;Ant2
2022-07-09 21:01:28,312;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:01:18,200;2022-07-10 04:01:18,200;9;Unknown;;x
2022-07-09 21:01:38,405;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:01:28,300;2022-07-10 04:01:28,300;26;Unknown;;x
2022-07-09 21:01:48,468;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:01:38,400;2022-07-10 04:01:38,400;107;Departing;x;x
2022-07-09 21:01:58,546;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:01:48,400;2022-07-10 04:01:48,400;141;Unknown;x;
2022-07-09 21:02:28,812;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:02:18,700;2022-07-10 04:02:18,700;93;Unknown;x;
2022-07-09 21:02:38,890;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:02:28,700;2022-07-10 04:02:28,700;186;Departing;x;x
2022-07-09 21:02:48,937;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:02:38,800;2022-07-10 04:02:38,800;221;Departing;x;x
2022-07-09 21:02:59,015;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:02:48,900;2022-07-10 04:02:48,900;207;Unknown;x;
2022-07-09 21:03:09,108;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:02:59,000;2022-07-10 04:02:59,000;207;Unknown;x;
2022-07-09 21:03:19,202;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:03:09,100;2022-07-10 04:03:09,100;205;Unknown;x;
2022-07-09 21:03:29,249;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:03:19,100;2022-07-10 04:03:19,100;131;Departing;x;x
2022-07-09 21:03:39,358;13;200328;25SQCMICSBB99EA009D0D;;DPC;2022-07-10 04:03:29,200;2022-07-10 04:03:29,200;86;Unknown;;x
