File,Creation,Time,UTC,8/14/22,19:53,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,
SW,Version,v01,9,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,
SW,StartTime,8/14/22,19:50,,,,,,,
Lib,Version,v1,6,3,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,
OS,Version,v10,0,17763,865,,,,,
,,,,,,,,,,
,,,,,,,,,,
Settings,,,,,,,,,,
,Scan,mode,DOC,,,,,,,
,FilterDuplicates,,,,,,,,,
,,Enabled,YES,,,,,,,
,,TimeToFilter_Seconds,5,,,,,,,
,,,,,,,,,,
Found,Hardware,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,
,0x10,200330,D0,22,98,26,6,2.0,,
,0x13,200328,D0,22,98,26,6,2.0,,
,,,,,,,,,,
,,,,,,,,,,
Date,Timestamp,HexAddress,ReaderID,UID,Collection,DataType,Ant,,Number,Temp(°C)
2022-08-14,15:16:52,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:16:52,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:16:53,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:16:53,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:16:53,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:16:53,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:16:54,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:16:54,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:16:54,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:16:54,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:16:54,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:19:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,15:19:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,15:19:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,15:19:44,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,15:19:44,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,15:19:44,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,15:24:22,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,15:24:23,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,15:33:52,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,15:35:31,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,15:35:34,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,15:38:09,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,15:38:09,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,15:44:27,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:28,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:28,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:28,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:28,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:28,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:29,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:29,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:29,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:29,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:29,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:29,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:29,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:29,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:30,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:30,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:30,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:30,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:44:30,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:44:41,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:47:38,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:47:39,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:47:39,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:47:39,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:47:39,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:47:40,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:47:40,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:47:40,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:47:40,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:47:41,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:47:41,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:47:41,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,15:47:41,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,15:47:41,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,16:05:08,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:05:09,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:05:34,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
